=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.02 16:40:11 =~=~=~=~=~=~=~=~=~=~=~=
182343888.00,---------
Raw Input, Angle, Time, Started
3497,307.25,5529444.00,1
3512,308.66,5531273.00,1
3531,310.24,5533097.00,1
3548,311.65,5534938.00,1
3564,313.14,5536761.00,1
3583,314.73,5538603.00,1
3599,316.22,5540449.00,1
3618,317.89,5542286.00,1
3634,319.21,5544121.00,1
3651,320.79,5545959.00,1
3669,322.29,5547785.00,1
3686,323.87,5549626.00,1
3704,325.45,5551470.00,1
3720,326.86,5553300.00,1
3739,328.44,5555127.00,1
3755,329.85,5556968.00,1
3773,331.52,5558799.00,1
3790,333.01,5560636.00,1
3808,334.51,5562468.00,1
3826,336.18,5564302.00,1
3843,337.67,5566133.00,1
3862,339.34,5567978.00,1
3879,340.75,5569811.00,1
3897,342.42,5571639.00,1
3914,344.00,5573477.00,1
3932,345.49,5575291.00,1
3951,347.08,5577130.00,1
3967,348.57,5578949.00,1
3987,350.33,5580783.00,1
4004,351.74,5582620.00,1
4023,353.49,5584446.00,1
4041,354.99,5586284.00,1
4059,356.57,5588114.00,1
4077,358.15,5589942.00,1
4094,359.74,5591784.00,1
18,361.32,5593514.00,1
33,362.73,5595253.00,1
51,364.31,5596990.00,1
69,365.80,5598736.00,1
85,367.30,5600464.00,1
104,368.97,5602238.00,1
120,370.37,5604020.00,1
139,371.96,5605812.00,1
156,373.54,5607604.00,1
174,375.03,5609386.00,1
192,376.70,5611167.00,1
209,378.20,5612944.00,1
229,379.78,5614715.00,1
246,381.27,5616487.00,1
264,382.95,5618261.00,1
280,384.44,5620044.00,1
299,385.93,5621822.00,1
316,387.60,5623611.00,1
332,388.92,5625399.00,1
348,390.42,5627193.00,1
362,391.74,5628983.00,1
377,392.97,5630776.00,1
390,394.11,5632571.00,1
403,395.25,5634361.00,1
415,396.22,5636145.00,1
425,397.27,5637939.00,1
437,398.33,5639730.00,1
443,398.86,5641524.00,1
455,399.91,5643297.00,1
458,400.26,5645084.00,1
470,401.14,5646867.00,1
474,401.58,5648653.00,1
481,402.20,5650429.00,1
483,402.37,5652210.00,1
488,402.90,5653985.00,1
490,402.99,5655759.00,1
493,403.34,5657538.00,1
493,403.25,5659323.00,1
497,403.69,5661116.00,1
493,403.34,5662910.00,1
493,403.34,5664690.00,1
486,402.81,5666484.00,1
484,402.64,5668277.00,1
478,402.02,5670069.00,1
474,401.76,5671853.00,1
465,400.97,5673648.00,1
458,400.35,5675441.00,1
450,399.65,5677235.00,1
440,398.86,5679023.00,1
431,398.07,5680816.00,1
418,396.92,5682604.00,1
409,396.04,5684391.00,1
394,394.81,5686165.00,1
384,393.93,5687944.00,1
367,392.44,5689719.00,1
356,391.47,5691496.00,1
339,389.98,5693274.00,1
323,388.48,5695050.00,1
306,387.08,5696837.00,1
288,385.49,5698618.00,1
270,384.00,5700404.00,1
252,382.42,5702178.00,1
234,380.84,5703964.00,1
217,379.34,5705727.00,1
198,377.67,5707510.00,1
181,376.18,5709282.00,1
163,374.59,5711062.00,1
145,373.01,5712837.00,1
127,371.43,5714613.00,1
108,369.76,5716407.00,1
91,368.18,5718154.00,1
